university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,DISEÑO-DE-IMAGEN-Y-SONIDO,2020-10-02,PHILIP,CORTEZ,M,100.0,"[1661, 3432, 4622, 5381, 5835]",BELLA-VISTA,ASHLEY17@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,DISEÑO-DE-IMAGEN-Y-SONIDO,2020-11-30,TIMOTHY,OLSON,M,106.0,[7005],BARKER,CONNIE29@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIAS-ANTROPOLÓGICAS,2021-01-07,ADRIAN,WILSON,M,103.0,[3083],GRUTLY,SCHMIDTCHRISTOPHER@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,FARMACIA,2020-10-16,MELISSA,HENDRIX,F,10.0,[3313],ARROYO-DEL-MEDIO,CHELSEAWHITE@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,INGENIERÍA-MECÁNICA,2020-12-01,DANIELLE,WATSON,F,57.0,[2717],ACEVEDO,RUSSELLGINA@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIAS-DE-LA-COMPUTACIÓN,2020-10-22,GEORGE,NEWMAN,M,9.0,[4634],ABRALAITE,LSMITH@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-PSICOLOGÍA,2020-11-16,KELLY,BARNETT,F,71.0,[2214],ALDAO,ROBERTHOLMES@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,ACTUARIO-,2021-01-20,STEPHANIE,JORDAN,F,94.0,[6400],BARRIO-INDIO-TROMPA,PERRYKIMBERLY@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIAS-GEOLÓGICAS,2021-01-20,JASON,NEWTON,M,51.0,"[3363, 4242, 5615, 6660, 8201]",25-DE-MAYO,MARTINBRIANNA@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,CIENCIAS-VETERINARIAS,2020-12-14,MARIAH,THOMAS,F,85.0,[6380],BOEUF,CALEXANDER@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,DISEÑO-INDUSTRIAL,2020-11-12,MARIA,RANDOLPH,F,48.0,[1864],ALEJANDRO-KORN,KARLDAVIS@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-GESTIÓN-DE-AGROALIMENTOS,2020-12-15,TINA,THOMAS,F,10.0,[6335],GRACIARENA,MFLOWERS@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,ARQUITECTURA,2020-10-01,KELLI,MASSEY,F,39.0,"[3363, 4242, 5615, 6660, 8201]",25-DE-MAYO,GOODERICA@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,DISEÑO-INDUSTRIAL,2020-11-28,JOHNNY,HOPKINS,M,38.0,[6017],CHANCAY,JOSEMORRIS@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-RELACIONES-DEL-TRABAJO-,2020-12-07,TIMOTHY,WILSON,M,71.0,[4195],7-DE-ABRIL,GARDNERKURT@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-PRODUCCIÓN-DE-BIOIMAGENES,2020-10-02,MONICA,SKINNER,F,66.0,[5594],ALTO-CON-ZAMPA,MEYERANTHONY@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-KINESIOLOGÍA-Y-FISIATRÍA,2020-11-24,COLIN,ORTIZ,M,109.0,[2508],ARMSTRONG,JAMES58@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,ARQUITECTURA,2020-10-01,YOLANDA,SCOTT,F,28.0,[2257],COLONIA-BELGRANO,SNYDERCALEB@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIA-POLÍTICA-,2020-10-15,RODNEY,MARTIN,M,50.0,"[4231, 4235]",ALBIGASTA,GBROWNING@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIAS-GEOLÓGICAS,2020-09-12,ROGER,TORRES,M,3.0,"[3540, 5738]",AVANZADA,APRILBROCK@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-ARTES,2020-09-07,PETER,JACKSON,M,99.0,[4709],SAN-JOSE-DE-PIEDRA-BLANCA,NCARSON@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-PSICOLOGÍA,2021-01-10,DANNY,DAVIS,M,77.0,"[1661, 3432, 4622, 5381, 5835]",BELLA-VISTA,ELLEN01@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,TÉCNICO-PARA-BIOTERIOS-,2020-10-23,DUSTIN,LAWRENCE,M,2.0,[3116],ALDEA-CHALECO,XCAMPBELL@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-KINESIOLOGÍA-Y-FISIATRÍA,2020-09-29,KAREN,SILVA,F,40.0,"[4506, 6389]",ALEGRIA,ABELTRAN@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-CIENCIAS-DE-LA-EDUCACIÓN-,2020-11-22,SEAN,REEVES,M,47.0,[2453],CARLOS-PELLEGRINI,KRIVERA@GMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-TERAPIA-OCUPACIONAL,2020-12-27,JASON,BELTRAN,M,21.0,[3454],BAÑADO-SAN-ANTONIO,SCHMIDTBLAKE@YAHOO.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,LICENCIATURA-EN-KINESIOLOGÍA-Y-FISIATRÍA,2020-10-05,THOMAS,GONZALES,M,74.0,[5636],FAVELLI,CARLAEDWARDS@HOTMAIL.COM
-FACULTAD-LATINOAMERICANA-DE-CIENCIAS-SOCIALES,INGENIERÍA-ELECTRÓNICA,2020-10-05,KELLY,SMITH,F,7.0,[3204],AYUI-PARADA,JOSEPH65@YAHOO.COM
