university,career,inscription_date,first_name,last_name,gender,age,postal_code,location,email
universidad-j.-f.-kennedy,ingeniería-mecánica,2021-01-19,nancy,underwood,f,46.0,4139,AGUA AMARILLA LA HOYADA,mcdonaldjulia@yahoo.com
universidad-j.-f.-kennedy,actuario-,2020-10-15,james,kelly,m,-46.0,3176,ESTACION SOLA,contrerasstephen@yahoo.com
universidad-j.-f.-kennedy,diseño-de-imagen-y-sonido,2021-01-22,jaime,crawford,f,46.0,7612,CAMET,martin59@yahoo.com
universidad-j.-f.-kennedy,actuario-,2020-10-06,matthew,ballard,m,3.0,7401,CANTERAS DE GREGORINI,jamesguerra@yahoo.com
universidad-j.-f.-kennedy,arquitectura,2020-10-19,tiffany,harris,f,-28.0,5471,AGUA BLANCA,simmonsderek@yahoo.com
universidad-j.-f.-kennedy,licenciatura-en-producción-de-bioimagenes,2021-01-07,antonio,turner,m,28.0,4164,BAJASTINE,burgesskathy@yahoo.com
universidad-j.-f.-kennedy,licenciatura-en-ciencias-de-la-educación-,2020-12-27,holly,miller,f,29.0,3083,GRUTLY,ggraves@yahoo.com
universidad-j.-f.-kennedy,licenciatura-en-kinesiología-y-fisiatría,2020-09-08,andrew,lee,m,-33.0,4751,AGUA DE DIONISIO,haley06@hotmail.com
universidad-j.-f.-kennedy,licenciatura-en-relaciones-del-trabajo-,2021-01-15,melanie,parks,f,15.0,2506,CORREA,mgarza@yahoo.com
universidad-j.-f.-kennedy,medicina,2020-09-14,aaron,brown,m,13.0,3418,BARTOLOME MITRE,richard88@yahoo.com
universidad-j.-f.-kennedy,licenciatura-en-ciencias-antropológicas,2020-09-20,terry,mooney,m,1.0,2801,ALTO VERDE,joshua50@hotmail.com
universidad-j.-f.-kennedy,licenciatura-en-ciencias-de-la-educación-,2021-01-15,john,cantu,m,-8.0,3283,COLONIA MABRAGAÑA,ashleylin@hotmail.com
universidad-j.-f.-kennedy,licenciatura-en-ciencia-política-,2020-10-02,joseph,callahan,m,-35.0,6220,BERNARDO LARROUDE,ronaldgonzales@gmail.com
universidad-j.-f.-kennedy,licenciatura-en-producción-de-bioimagenes,2020-10-31,linda,sexton,f,-32.0,3340,BOQUERON,kgardner@yahoo.com
universidad-j.-f.-kennedy,licenciatura-en-ciencias-de-la-computación,2020-12-06,john,cantu,m,30.0,6660,25 DE MAYO,hcrawford@gmail.com
